method,window_radius,window_size,mean_train_word_error,mean_test_word_error,mean_train_char_error,mean_test_char_error,mean_train_time,mean_test_time
auto_context,0,1,0.39671666666666666,0.5822333333333334,0.09223537503820867,0.16664342151004108,4.65227282872527,0.02579165767464373
auto_context,1,3,0.18703333333333333,0.6408,0.03531395207776944,0.19544816788704453,8.056342522846535,0.04395566197733084
auto_context,2,5,0.03549444444444446,0.6043722222222222,0.005350962348699744,0.18519938208887313,9.547124708485272,0.05898714800261789
fixed_point,0,1,0.4640944444444444,0.5811333333333333,0.12609687180623685,0.17539664662643303,2.3377765230834484,0.2416338611445907
fixed_point,1,3,0.2872,0.6326666666666667,0.06238679633145462,0.19356381087105387,4.077354810200632,0.2648176297079772
fixed_point,2,5,0.11755555555555557,0.6198666666666667,0.021873451624033115,0.1902700632542157,4.952038898158611,0.2762068562830488
