method,train_word_error,test_word_error,train_char_error,test_char_error,train_time,test_time,repeat_index,window_radius,window_size,n_train,n_test,train_word_acc,test_word_acc,train_char_acc,test_char_acc
auto_context,0.30900000000000005,0.6305000000000001,0.06580166821130673,0.1861864824864331,2.9282718340400606,0.014237083960324526,0,0,1,1000,4000,0.691,0.36949999999999994,0.9341983317886933,0.8138135175135669
auto_context,0.31299999999999994,0.63725,0.06497957031764856,0.18965460472160944,2.8403082080185413,0.02911808411590755,1,0,1,1000,4000,0.687,0.36275,0.9350204296823514,0.8103453952783906
auto_context,0.32399999999999995,0.6267499999999999,0.06578435188789411,0.18442365541634986,2.71459133294411,0.01309170899912715,2,0,1,1000,4000,0.676,0.3732500000000001,0.9342156481121059,0.8155763445836501
auto_context,0.4376,0.5628,0.10269360269360273,0.15984168865435355,4.655914624920115,0.03018287499435246,0,0,1,2500,2500,0.5624,0.43720000000000003,0.8973063973063973,0.8401583113456464
auto_context,0.41479999999999995,0.5904,0.10138911064984835,0.16020658354635087,4.653751833830029,0.012047583004459739,1,0,1,2500,2500,0.5852,0.40959999999999996,0.8986108893501517,0.8397934164536491
auto_context,0.42479999999999996,0.5604,0.10025586131272524,0.1570160046791088,4.549750374862924,0.03390458389185369,2,0,1,2500,2500,0.5752,0.4396,0.8997441386872748,0.8429839953208912
auto_context,0.4445,0.556,0.10743120777722859,0.16248522264547482,6.506834917003289,0.037060749949887395,0,0,1,4000,1000,0.5555,0.44399999999999995,0.8925687922227714,0.8375147773545252
auto_context,0.4495,0.5369999999999999,0.11073040556122948,0.15095332018408947,6.583107540849596,0.03285895800217986,1,0,1,4000,1000,0.5505,0.4630000000000001,0.8892695944387705,0.8490466798159105
auto_context,0.45325000000000004,0.5389999999999999,0.11105259693239422,0.14902323125659978,6.437924792058766,0.029623292153701186,2,0,1,4000,1000,0.54675,0.4610000000000001,0.8889474030676058,0.8509767687434002
auto_context,0.031000000000000028,0.70375,0.004579353656940954,0.22935840343064484,4.516047290991992,0.04376812488771975,0,1,3,1000,4000,0.969,0.29625,0.995420646343059,0.7706415965693552
auto_context,0.029000000000000026,0.6910000000000001,0.003934942287513121,0.22525878552119738,4.35272524994798,0.04427062510512769,1,1,3,1000,4000,0.971,0.30899999999999994,0.9960650577124869,0.7747412144788026
